date,time,open,high,low,close,tickVolume
2014.04.04,01:00,1.47859,1.47874,1.47829,1.47854,892
2014.04.04,02:00,1.47873,1.47903,1.47818,1.47843,1661
2014.04.04,03:00,1.47843,1.47968,1.47839,1.47955,1117
2014.04.04,04:00,1.47959,1.47978,1.47943,1.4797,970
2014.04.04,05:00,1.47969,1.47969,1.47918,1.47963,804
2014.04.04,06:00,1.47963,1.48008,1.47948,1.47963,888
2014.04.04,07:00,1.47965,1.47982,1.47921,1.47939,998
2014.04.04,08:00,1.47939,1.48076,1.47926,1.4806,2966
2014.04.04,09:00,1.4806,1.48175,1.48034,1.4816,3712
2014.04.04,10:00,1.4816,1.48183,1.48073,1.48097,3106
2014.04.04,11:00,1.48098,1.48125,1.47893,1.47902,3603
2014.04.04,12:00,1.479,1.48113,1.47894,1.48083,3313
2014.04.04,13:00,1.48075,1.48078,1.47877,1.4794,3669
2014.04.04,14:00,1.47943,1.48262,1.47674,1.47938,12494
2014.04.04,15:00,1.47933,1.48138,1.47919,1.48016,8225
2014.04.04,16:00,1.48019,1.48271,1.4788,1.48208,12046
2014.04.04,17:00,1.48208,1.48276,1.47911,1.47971,6360
2014.04.04,18:00,1.47971,1.47978,1.47796,1.47799,3715
2014.04.04,19:00,1.478,1.47869,1.47762,1.47838,2290
2014.04.04,20:00,1.47838,1.47929,1.47821,1.47844,1982
2014.04.04,21:00,1.47843,1.47853,1.47779,1.47828,1640
2014.04.04,22:00,1.47828,1.47944,1.47751,1.4777,1643
2014.04.07,00:00,1.47803,1.4791,1.47789,1.4791,866
2014.04.07,01:00,1.4791,1.47926,1.47816,1.47822,902
2014.04.07,02:00,1.47822,1.47822,1.4773,1.47743,1820
2014.04.07,03:00,1.47743,1.47788,1.47738,1.47758,685
2014.04.07,04:00,1.47758,1.47857,1.47733,1.47853,924
2014.04.07,05:00,1.47853,1.47878,1.47833,1.47843,646
2014.04.07,06:00,1.47843,1.47948,1.47803,1.47813,1399
2014.04.07,07:00,1.47813,1.47828,1.47735,1.47768,1161
2014.04.07,08:00,1.47766,1.47843,1.47724,1.47741,2907
2014.04.07,09:00,1.47741,1.47787,1.47534,1.47561,4338
2014.04.07,10:00,1.47561,1.47698,1.47561,1.47643,2993
2014.04.07,11:00,1.47642,1.47668,1.47579,1.47625,2544
2014.04.07,12:00,1.47625,1.47689,1.47389,1.47538,3841
2014.04.07,13:00,1.47528,1.47568,1.47326,1.47488,4280
2014.04.07,14:00,1.47493,1.47607,1.47468,1.47524,2714
2014.04.07,15:00,1.47521,1.47591,1.47397,1.47477,5303
2014.04.07,16:00,1.47476,1.47593,1.47418,1.47508,3225
2014.04.07,17:00,1.47508,1.47552,1.47415,1.47478,2465
2014.04.07,18:00,1.47478,1.4756,1.47467,1.47552,1892
2014.04.07,19:00,1.47555,1.47573,1.47367,1.47375,1500
2014.04.07,20:00,1.47373,1.47476,1.47369,1.47464,1118
2014.04.07,21:00,1.47467,1.47469,1.47412,1.47414,1242
2014.04.07,22:00,1.47419,1.47453,1.47396,1.47453,1065
2014.04.07,23:00,1.47453,1.47478,1.47413,1.47433,486
2014.04.08,00:00,1.47433,1.4745,1.47415,1.47438,592
2014.04.08,01:00,1.47438,1.47478,1.47429,1.47433,780
2014.04.08,02:00,1.47438,1.47458,1.47382,1.47398,1228
2014.04.08,03:00,1.47398,1.47539,1.47388,1.47488,1132
2014.04.08,04:00,1.47483,1.47494,1.47442,1.47463,701
2014.04.08,05:00,1.47461,1.47511,1.4744,1.47493,752
2014.04.08,06:00,1.47493,1.47526,1.47476,1.47506,751
2014.04.08,07:00,1.47505,1.47533,1.47463,1.47479,722
2014.04.08,08:00,1.47479,1.47613,1.47411,1.47555,1838
2014.04.08,09:00,1.47558,1.47628,1.47359,1.47432,3599
2014.04.08,10:00,1.4743,1.48058,1.47361,1.47984,4563
2014.04.08,11:00,1.47984,1.4811,1.47973,1.48073,2498
2014.04.08,12:00,1.48073,1.48158,1.4806,1.48106,2331
2014.04.08,13:00,1.48105,1.48118,1.47968,1.47995,3119
2014.04.08,14:00,1.48004,1.48081,1.4786,1.47981,4219
2014.04.08,15:00,1.47983,1.48059,1.47883,1.47978,6635
2014.04.08,16:00,1.47978,1.48139,1.47974,1.48106,8569
2014.04.08,17:00,1.48106,1.48115,1.47866,1.4793,6488
2014.04.08,18:00,1.47928,1.47967,1.4778,1.47894,5046
2014.04.08,19:00,1.47894,1.48003,1.47868,1.47949,3189
2014.04.08,20:00,1.47949,1.47959,1.47828,1.47916,4290
2014.04.08,21:00,1.47916,1.47953,1.47866,1.47929,1947
2014.04.08,22:00,1.47929,1.47946,1.47888,1.47905,1356
2014.04.08,23:00,1.47894,1.48008,1.4786,1.47999,637
2014.04.09,00:00,1.47997,1.48015,1.47962,1.48005,374
2014.04.09,01:00,1.48004,1.48028,1.47984,1.48016,540
2014.04.09,02:00,1.48017,1.4806,1.47994,1.48014,1377
2014.04.09,03:00,1.48011,1.481,1.47954,1.4806,1674
2014.04.09,04:00,1.4806,1.48074,1.48005,1.4802,1079
2014.04.09,05:00,1.4802,1.48068,1.47999,1.48029,1217
2014.04.09,06:00,1.48029,1.48041,1.47979,1.48025,883
2014.04.09,07:00,1.48025,1.48051,1.47971,1.47983,1464
2014.04.09,08:00,1.47982,1.48047,1.47952,1.48005,2861
2014.04.09,09:00,1.48007,1.48014,1.47847,1.47859,5165
2014.04.09,10:00,1.47858,1.48031,1.47843,1.47886,5047
2014.04.09,11:00,1.47888,1.48004,1.47853,1.47953,4310
2014.04.09,12:00,1.47952,1.47987,1.47779,1.47782,3901
2014.04.09,13:00,1.47782,1.47945,1.47742,1.47897,4092
2014.04.09,14:00,1.47896,1.47948,1.47768,1.47896,3848
2014.04.09,15:00,1.47896,1.47909,1.47623,1.47649,3804
2014.04.09,16:00,1.4765,1.47758,1.4748,1.4748,4130
2014.04.09,17:00,1.47486,1.47693,1.47444,1.47681,3704
2014.04.09,18:00,1.4768,1.47755,1.47644,1.47725,2344
2014.04.09,19:00,1.47724,1.47749,1.47644,1.4767,1974
2014.04.09,20:00,1.47676,1.47732,1.4756,1.47699,5834
2014.04.09,21:00,1.47696,1.47731,1.4764,1.47656,2433
2014.04.09,22:00,1.4766,1.47734,1.47658,1.477,1305
2014.04.09,23:00,1.47698,1.47728,1.47676,1.47694,506
2014.04.10,00:00,1.47695,1.4773,1.47688,1.47712,586
2014.04.10,01:00,1.47711,1.47838,1.47709,1.47835,888
2014.04.10,02:00,1.47838,1.47872,1.47683,1.47713,1516
2014.04.10,03:00,1.47704,1.47808,1.47672,1.47738,1865
2014.04.10,04:00,1.47733,1.47783,1.47711,1.47724,1487
2014.04.10,05:00,1.47725,1.47746,1.47678,1.47682,1074
2014.04.10,06:00,1.47678,1.4773,1.47673,1.47713,1015
2014.04.10,07:00,1.47713,1.47722,1.47648,1.47653,784
2014.04.10,08:00,1.47653,1.47779,1.47639,1.47712,2598
2014.04.10,09:00,1.47713,1.47813,1.47367,1.47391,3612
2014.04.10,10:00,1.47389,1.47494,1.47253,1.47304,3001
2014.04.10,11:00,1.473,1.47345,1.47237,1.47288,3006
2014.04.10,12:00,1.47288,1.47392,1.472,1.47344,2714
2014.04.10,13:00,1.47358,1.47366,1.47268,1.47299,2743
2014.04.10,14:00,1.47301,1.4741,1.47202,1.47363,3653
2014.04.10,15:00,1.4736,1.47399,1.47233,1.47263,3580
2014.04.10,16:00,1.47268,1.47274,1.47103,1.47134,3999
2014.04.10,17:00,1.47138,1.47143,1.46896,1.46972,4677
2014.04.10,18:00,1.46971,1.47053,1.46958,1.47033,2669
2014.04.10,19:00,1.4703,1.47117,1.47023,1.47095,2170
2014.04.10,20:00,1.47093,1.47126,1.4702,1.4708,1672
2014.04.10,21:00,1.47081,1.47085,1.47018,1.47041,1755
2014.04.10,22:00,1.47043,1.47089,1.47032,1.47089,1007
2014.04.10,23:00,1.47089,1.47106,1.47024,1.47056,937
2014.04.11,00:00,1.47056,1.47056,1.47013,1.47054,602
2014.04.11,01:00,1.47054,1.47075,1.46947,1.46973,713
2014.04.11,02:00,1.46973,1.46993,1.46878,1.46936,1381
2014.04.11,03:00,1.46937,1.46983,1.46893,1.46933,1235
2014.04.11,04:00,1.46935,1.47008,1.46927,1.4698,797
2014.04.11,05:00,1.46979,1.47014,1.46965,1.46991,810
2014.04.11,06:00,1.46991,1.46997,1.46945,1.4695,758
2014.04.11,07:00,1.46953,1.4705,1.46948,1.47044,868
2014.04.11,08:00,1.47042,1.47086,1.46982,1.46996,2231
2014.04.11,09:00,1.47001,1.47051,1.46838,1.46846,2835
2014.04.11,10:00,1.46844,1.46939,1.46818,1.46876,2547
2014.04.11,11:00,1.46876,1.4692,1.46831,1.46873,2164
2014.04.11,12:00,1.46877,1.46883,1.4663,1.46638,2817
2014.04.11,13:00,1.46633,1.46673,1.46465,1.46558,4365
2014.04.11,14:00,1.46558,1.46754,1.46513,1.46725,4056
2014.04.11,15:00,1.46723,1.46756,1.46431,1.46528,4225
2014.04.11,16:00,1.46524,1.46594,1.46366,1.4645,4461
2014.04.11,17:00,1.46451,1.46477,1.46346,1.46397,3620
2014.04.11,18:00,1.46398,1.4644,1.46339,1.46438,1997
2014.04.11,19:00,1.46437,1.4647,1.46372,1.46437,1718
2014.04.11,20:00,1.46436,1.46578,1.46436,1.46568,1813
2014.04.11,21:00,1.46568,1.46592,1.4651,1.46564,1531
